BF	No_of_unique_perms
0000110111111111	24
0000111000000000	12
0000111000001000	4
0000111000001010	12
0000111000001100	12
0000111000001111	12
0000111010001110	12
0000111010001111	12
0000111010101110	24
0000111010101111	24
0000111011001110	24
0000111011001111	24
0000111011101110	6
0000111011101111	6
0000111011111111	12
0000111100000001	12
0000111100000010	24
0000111100000100	24
0000111100000111	12
0000111100001000	12
0000111100001011	12
0000111100001101	12
0000111100001110	4
0000111100011111	4
0000111100101111	12
0000111101001111	12
0000111101111111	12
0000111110001111	12
0000111110111111	24
0000111111011111	24
0000111111101111	12
0001000000000000	6
0001000000010001	12
0001000000110000	12
0001000000110001	12
0001000000110011	24
0001000001010000	12
0001000001010001	12
0001000001010101	24
0001000001110000	4
0001000001110001	4
0001000001110011	12
0001000001110101	12
0001000001110111	12
0001000011110000	12
0001000011110001	12
0001000011110011	24
0001000011110101	24
0001000011110111	12
0001000011111111	12
0001000100000001	12
0001000100010000	6
0001000100010011	12
0001000100010101	12
0001000100010111	6
0001000100011111	3
0001000100110001	24
0001000100110111	12
0001000100111111	12
0001000101010001	24
0001000101010111	12
0001000101011111	12
0001000101110001	12
0001000101110011	12
0001000101110101	12
0001000101111111	12
0001000111110001	12
0001000111110011	24
0001000111110101	24
0001000111110111	12
0001001100000000	12
0001001100000001	12
0001001100000011	24
0001001100010001	24
0001001100010111	12
0001001100011111	12
0001001100110011	4
0001001100110111	4
0001001100111111	12
0001001101010111	12
0001001101011111	3
0001001101110111	12
0001001101111111	6
0001001111111111	12
0001010100000000	12
0001010100000001	12
0001010100000101	24
0001010100010001	24
0001010100010111	12
0001010100011111	12
0001010100110111	12
0001010100111111	3
0001010101010101	4
0001010101010111	4
0001010101011111	12
0001010101110111	12
0001010101111111	6
0001010111111111	12
0001011100000000	4
0001011100000001	4
0001011100000011	12
0001011100000101	12
0001011100000111	12
0001011100010001	12
0001011100010011	12
0001011100010101	12
0001011100011111	12
0001011100110111	12
0001011100111111	6
0001011101010111	12
0001011101011111	6
0001011101110111	6
0001011101111111	1
0001011111111111	4
0001111100000000	12
0001111100000001	12
0001111100000011	24
0001111100000101	24
0001111100000111	12
0001111100001111	12
0001111100010001	12
0001111100010011	24
0001111100010101	24
0001111100010111	12
0001111100111111	12
0001111101011111	12
0001111101111111	4
0001111111111111	6
0010000000000000	4
0010000000100010	24
0010000000110000	24
0010000000110010	12
0010000000110011	12
0010000010100000	6
0010000010100010	12
0010000010101010	24
0010000010110000	12
0010000010110010	6
0010000010110011	6
0010000010111010	24
0010000010111011	24
0010000011110000	24
0010000011110010	24
0010000011110011	24
0010000011111010	12
0010000011111011	12
0010000011111111	12
0010001000000010	24
0010001000100000	12
0010001000100011	12
0010001000101010	12
0010001000101011	12
0010001000101111	12
0010001000110010	24
0010001000111011	24
0010001000111111	24
0010001010100010	24
0010001010101011	12
0010001010101111	24
0010001010110010	24
0010001010110011	24
0010001010111010	12
0010001010111111	24
0010001011110010	12
0010001011110011	12
0010001011111010	24
0010001011111011	24
0010001100000000	24
0010001100000010	12
0010001100000011	12
0010001100100010	24
0010001100101011	24
0010001100101111	24
0010001100110011	12
0010001100111011	12
0010001100111111	12
0010001110101011	24
0010001110101111	12
0010001110111011	24
0010001110111111	12
0010001111111111	24
0010101000000000	6
0010101000000010	12
0010101000001010	24
0010101000100010	24
0010101000101011	12
0010101000101111	24
0010101000111011	24
0010101000111111	12
0010101010101010	4
0010101010101011	4
0010101010101111	12
0010101010111011	12
0010101010111111	12
0010101011111111	12
0010101100000000	12
0010101100000010	6
0010101100000011	6
0010101100001010	24
0010101100001011	24
0010101100100010	24
0010101100100011	24
0010101100101010	12
0010101100101111	24
0010101100111011	24
0010101100111111	12
0010101110101011	12
0010101110101111	12
0010101110111011	12
0010101110111111	4
0010101111111111	12
0010111100000000	24
0010111100000010	24
0010111100000011	24
0010111100001010	12
0010111100001011	12
0010111100001111	12
0010111100100010	12
0010111100100011	12
0010111100101010	24
0010111100101011	24
0010111100111111	24
0010111110101111	12
0010111110111111	12
0010111111111111	12
0011000000010000	24
0011000000100000	12
0011000000110001	12
0011000000110010	24
0011000001110000	12
0011000001110001	12
0011000001110011	24
0011000001110101	12
0011000001110111	24
0011000010110000	24
0011000010110010	24
0011000010110011	24
0011000010111010	12
0011000010111011	12
0011000011110001	12
0011000011110010	12
0011000011110101	24
0011000011110111	24
0011000011111010	24
0011000011111011	24
0011000100000000	24
0011000100010000	12
0011000100010001	12
0011000100110000	24
0011000100110011	12
0011000101110001	24
0011000101110011	12
0011000101110101	24
0011000101110111	12
0011000111110001	24
0011000111110011	24
0011000111110101	12
0011000111110111	12
0011000111111111	24
0011001000000000	12
0011001000100000	4
0011001000100010	12
0011001000110000	12
0011001000110011	12
0011001010110010	12
0011001010110011	12
0011001010111010	24
0011001010111011	24
0011001011110010	24
0011001011110011	24
0011001011111010	6
0011001011111011	6
0011001011111111	12
0011001100000001	12
0011001100000010	24
0011001100010000	24
0011001100010011	12
0011001100100000	12
0011001100100011	12
0011001100110001	12
0011001100110010	4
0011001100110111	4
0011001100111011	12
0011001101110011	12
0011001101111111	12
0011001110110011	12
0011001110111111	24
0011001111110111	24
0011001111111011	12
0011011100000000	12
0011011100000001	12
0011011100000011	24
0011011100000101	12
0011011100000111	24
0011011100010001	24
0011011100010011	12
0011011100010101	24
0011011100010111	12
0011011100110011	12
0011011100111111	12
0011011101110111	12
0011011101111111	4
0011011111111111	6
0011101100000000	24
0011101100000010	24
0011101100000011	24
0011101100001010	12
0011101100001011	12
0011101100100010	12
0011101100100011	12
0011101100101010	24
0011101100101011	24
0011101100110011	12
0011101100111111	24
0011101110111011	12
0011101110111111	12
0011101111111111	12
0011111100000001	12
0011111100000010	12
0011111100000101	24
0011111100000111	24
0011111100001010	24
0011111100001011	24
0011111100010001	24
0011111100010011	24
0011111100010101	12
0011111100010111	12
0011111100011111	24
0011111100100010	24
0011111100100011	24
0011111100101010	6
0011111100101011	6
0011111100101111	12
0011111100110111	24
0011111100111011	12
0011111101111111	6
0011111110111111	12
0100000000000000	4
0100000001000100	24
0100000001010000	24
0100000001010100	12
0100000001010101	12
0100000011000000	6
0100000011000100	12
0100000011001100	24
0100000011010000	12
0100000011010100	6
0100000011010101	6
0100000011011100	24
0100000011011101	24
0100000011110000	24
0100000011110100	24
0100000011110101	24
0100000011111100	12
0100000011111101	12
0100000011111111	12
0100010000000100	24
0100010001000000	12
0100010001000101	12
0100010001001100	12
0100010001001101	12
0100010001001111	12
0100010001010100	24
0100010001011101	24
0100010001011111	24
0100010011000100	24
0100010011001101	12
0100010011001111	24
0100010011010100	24
0100010011010101	24
0100010011011100	12
0100010011011111	24
0100010011110100	12
0100010011110101	12
0100010011111100	24
0100010011111101	24
0100010100000000	24
0100010100000100	12
0100010100000101	12
0100010101000100	24
0100010101001101	24
0100010101001111	24
0100010101010101	12
0100010101011101	12
0100010101011111	12
0100010111001101	24
0100010111001111	12
0100010111011101	24
0100010111011111	12
0100010111111111	24
0100110000000000	6
0100110000000100	12
0100110000001100	24
0100110001000100	24
0100110001001101	12
0100110001001111	24
0100110001011101	24
0100110001011111	12
0100110011001100	4
0100110011001101	4
0100110011001111	12
0100110011011101	12
0100110011011111	12
0100110011111111	12
0100110100000000	12
0100110100000100	6
0100110100000101	6
0100110100001100	24
0100110100001101	24
0100110101000100	24
0100110101000101	24
0100110101001100	12
0100110101001111	24
0100110101011101	24
0100110101011111	12
0100110111001101	12
0100110111001111	12
0100110111011101	12
0100110111011111	4
0100110111111111	12
0100111100000000	24
0100111100000100	24
0100111100000101	24
0100111100001100	12
0100111100001101	12
0100111100001111	12
0100111101000100	12
0100111101000101	12
0100111101001100	24
0100111101001101	24
0100111101011111	24
0100111111001111	12
0100111111011111	12
0100111111111111	12
0101000000010000	24
0101000001000000	12
0101000001010001	12
0101000001010100	24
0101000001110000	12
0101000001110001	12
0101000001110011	12
0101000001110101	24
0101000001110111	24
0101000011010000	24
0101000011010100	24
0101000011010101	24
0101000011011100	12
0101000011011101	12
0101000011110001	12
0101000011110011	24
0101000011110100	12
0101000011110111	24
0101000011111100	24
0101000011111101	24
0101000100000000	24
0101000100010000	12
0101000100010001	12
0101000101010000	24
0101000101010101	12
0101000101110001	24
0101000101110011	24
0101000101110101	12
0101000101110111	12
0101000111110001	24
0101000111110011	12
0101000111110101	24
0101000111110111	12
0101000111111111	24
0101010000000000	12
0101010001000000	4
0101010001000100	12
0101010001010000	12
0101010001010101	12
0101010011010100	12
0101010011010101	12
0101010011011100	24
0101010011011101	24
0101010011110100	24
0101010011110101	24
0101010011111100	6
0101010011111101	6
0101010011111111	12
0101010100000001	12
0101010100000100	24
0101010100010000	24
0101010100010101	12
0101010101000000	12
0101010101000101	12
0101010101010001	12
0101010101010100	4
0101010101010111	4
0101010101011101	12
0101010101110101	12
0101010101111111	12
0101010111010101	12
0101010111011111	24
0101010111110111	24
0101010111111101	12
0101011100000000	12
0101011100000001	12
0101011100000011	12
0101011100000101	24
0101011100000111	24
0101011100010001	24
0101011100010011	24
0101011100010101	12
0101011100010111	12
0101011101010101	12
0101011101011111	12
0101011101110111	12
0101011101111111	4
0101011111111111	6
0101110100000000	24
0101110100000100	24
0101110100000101	24
0101110100001100	12
0101110100001101	12
0101110101000100	12
0101110101000101	12
0101110101001100	24
0101110101001101	24
0101110101010101	12
0101110101011111	24
0101110111011101	12
0101110111011111	12
0101110111111111	12
0101111100000001	12
0101111100000011	24
0101111100000100	12
0101111100000111	24
0101111100001100	24
0101111100001101	24
0101111100010001	24
0101111100010011	12
0101111100010101	24
0101111100010111	12
0101111100011111	24
0101111101000100	24
0101111101000101	24
0101111101001100	6
0101111101001101	6
0101111101001111	12
0101111101010111	24
0101111101011101	12
0101111101111111	6
0101111111011111	12
0111000000000000	6
0111000000010000	12
0111000000110000	24
0111000001010000	24
0111000001110001	12
0111000001110011	24
0111000001110101	24
0111000001110111	12
0111000011110000	4
0111000011110001	4
0111000011110011	12
0111000011110101	12
0111000011110111	12
0111000011111111	12
0111000100000000	12
0111000100010000	6
0111000100010001	6
0111000100110000	24
0111000100110001	24
0111000101010000	24
0111000101010001	24
0111000101110000	12
0111000101110011	24
0111000101110101	24
0111000101110111	12
0111000111110001	12
0111000111110011	12
0111000111110101	12
0111000111110111	4
0111000111111111	12
0111001100000000	24
0111001100010000	24
0111001100010001	24
0111001100110000	12
0111001100110001	12
0111001100110011	12
0111001101010000	12
0111001101010001	12
0111001101110000	24
0111001101110001	24
0111001101110111	24
0111001111110011	12
0111001111110111	12
0111001111111111	12
0111010100000000	24
0111010100010000	24
0111010100010001	24
0111010100110000	12
0111010100110001	12
0111010101010000	12
0111010101010001	12
0111010101010101	12
0111010101110000	24
0111010101110001	24
0111010101110111	24
0111010111110101	12
0111010111110111	12
0111010111111111	12
0111011100000001	12
0111011100000011	24
0111011100000101	24
0111011100000111	12
0111011100010000	12
0111011100010011	24
0111011100010101	24
0111011100010111	12
0111011100110000	24
0111011100110001	24
0111011100110111	24
0111011101010000	24
0111011101010001	24
0111011101010111	24
0111011101110000	6
0111011101110001	6
0111011101110011	12
0111011101110101	12
0111011101111111	6
0111011111110111	12
0111111100000000	4
0111111100000001	4
0111111100000011	12
0111111100000101	12
0111111100000111	12
0111111100001111	12
0111111100010001	12
0111111100010011	12
0111111100010101	12
0111111100010111	4
0111111100011111	12
0111111100110011	12
0111111100110111	12
0111111100111111	12
0111111101010101	12
0111111101010111	12
0111111101011111	12
0111111101110111	12
0111111111111111	1
1000000000000000	1
1000000010001000	12
1000000010100000	12
1000000010101000	12
1000000010101010	12
1000000011000000	12
1000000011001000	12
1000000011001100	12
1000000011100000	12
1000000011101000	4
1000000011101010	12
1000000011101100	12
1000000011101110	12
1000000011110000	12
1000000011111000	12
1000000011111010	12
1000000011111100	12
1000000011111110	4
1000000011111111	4
1000100000001000	12
1000100010000000	6
1000100010001010	12
1000100010001100	12
1000100010001110	6
1000100010001111	6
1000100010101000	24
1000100010101110	24
1000100010101111	24
1000100011001000	24
1000100011001110	24
1000100011001111	24
1000100011101000	12
1000100011101010	24
1000100011101100	24
1000100011101111	12
1000100011111000	12
1000100011111010	24
1000100011111100	24
1000100011111110	12
1000101000000000	12
1000101000001000	12
1000101000001010	12
1000101010001000	24
1000101010001110	24
1000101010001111	24
1000101010101010	12
1000101010101110	12
1000101010101111	12
1000101011001110	12
1000101011001111	12
1000101011101110	24
1000101011101111	24
1000101011111111	24
1000110000000000	12
1000110000001000	12
1000110000001100	12
1000110010001000	24
1000110010001110	24
1000110010001111	24
1000110010101110	12
1000110010101111	12
1000110011001100	12
1000110011001110	12
1000110011001111	12
1000110011101110	24
1000110011101111	24
1000110011111111	24
1000111000000000	12
1000111000001000	4
1000111000001010	12
1000111000001100	12
1000111000001110	12
1000111010001000	12
1000111010001010	24
1000111010001100	24
1000111010001111	12
1000111010101110	24
1000111010101111	24
1000111011001110	24
1000111011001111	24
1000111011101110	6
1000111011101111	6
1000111011111111	12
1000111100000000	12
1000111100001000	12
1000111100001010	12
1000111100001100	12
1000111100001110	4
1000111100001111	4
1000111110001000	12
1000111110001010	24
1000111110001100	24
1000111110001110	12
1000111110101111	24
1000111111001111	24
1000111111101111	12
1000111111111111	6
1010000000100000	12
1010000010000000	6
1010000010100010	12
1010000010101000	24
1010000010110000	12
1010000010110010	6
1010000010110011	6
1010000010111010	24
1010000010111011	24
1010000011100000	24
1010000011101000	12
1010000011101010	24
1010000011101100	12
1010000011101110	24
1010000011110010	24
1010000011110011	24
1010000011111000	24
1010000011111011	12
1010000011111100	24
1010000011111110	12
1010001000000000	12
1010001000100000	12
1010001000100010	12
1010001010100000	24
1010001010101010	12
1010001010110010	24
1010001010110011	24
1010001010111010	12
1010001010111011	12
1010001011110010	12
1010001011110011	12
1010001011111010	24
1010001011111011	24
1010001011111111	24
1010100000000000	6
1010100010000000	4
1010100010001000	12
1010100010100000	12
1010100010101010	12
1010100011101000	12
1010100011101010	12
1010100011101100	24
1010100011101110	24
1010100011111000	24
1010100011111010	24
1010100011111100	12
1010100011111110	12
1010100011111111	12
1010101000000010	12
1010101000001000	24
1010101000100000	24
1010101000101010	12
1010101010000000	12
1010101010001010	12
1010101010100010	12
1010101010101000	4
1010101010101011	4
1010101010101110	12
1010101010111010	12
1010101010111111	12
1010101011101010	12
1010101011101111	24
1010101011111011	24
1010101011111110	12
1010101100000000	12
1010101100000010	6
1010101100000011	6
1010101100001010	24
1010101100001011	24
1010101100100010	24
1010101100100011	24
1010101100101010	12
1010101100101011	12
1010101110101010	12
1010101110101111	12
1010101110111011	12
1010101110111111	4
1010101111111111	12
1010111000000000	24
1010111000001000	12
1010111000001010	24
1010111000001100	12
1010111000001110	24
1010111010001000	12
1010111010001010	12
1010111010001100	24
1010111010001110	24
1010111010101010	12
1010111010101111	24
1010111011101110	12
1010111011101111	12
1010111011111111	24
1010111100000010	24
1010111100000011	24
1010111100001000	24
1010111100001011	12
1010111100001100	24
1010111100001110	12
1010111100100010	12
1010111100100011	12
1010111100101010	24
1010111100101011	24
1010111100101111	24
1010111110001000	24
1010111110001010	24
1010111110001100	12
1010111110001110	12
1010111110001111	12
1010111110101011	24
1010111110101110	12
1010111110111111	12
1010111111101111	24
1011000000000000	12
1011000000100000	12
1011000000110000	12
1011000010100000	24
1011000010110010	24
1011000010110011	24
1011000010111010	12
1011000010111011	12
1011000011110000	12
1011000011110010	12
1011000011110011	12
1011000011111010	24
1011000011111011	24
1011000011111111	24
1011001000000000	12
1011001000100000	4
1011001000100010	12
1011001000110000	12
1011001000110010	12
1011001010100000	12
1011001010100010	24
1011001010110000	24
1011001010110011	12
1011001010111010	24
1011001010111011	24
1011001011110010	24
1011001011110011	24
1011001011111010	6
1011001011111011	6
1011001011111111	12
1011001100000000	12
1011001100100000	12
1011001100100010	12
1011001100110000	12
1011001100110010	4
1011001100110011	4
1011001110100000	12
1011001110100010	24
1011001110110000	24
1011001110110010	12
1011001110111011	24
1011001111110011	24
1011001111111011	12
1011001111111111	6
1011101000000000	24
1011101000100000	12
1011101000100010	24
1011101000110000	12
1011101000110010	24
1011101010100000	12
1011101010100010	12
1011101010101010	12
1011101010110000	24
1011101010110010	24
1011101010111011	24
1011101011111010	12
1011101011111011	12
1011101011111111	24
1011101100000010	24
1011101100000011	24
1011101100001010	12
1011101100001011	12
1011101100100000	24
1011101100100011	12
1011101100101010	24
1011101100101011	24
1011101100110000	24
1011101100110010	12
1011101100111011	24
1011101110100000	24
1011101110100010	24
1011101110101011	24
1011101110110000	12
1011101110110010	12
1011101110110011	12
1011101110111010	12
1011101110111111	12
1011101111111011	24
1011111100000000	12
1011111100000010	12
1011111100000011	12
1011111100001010	24
1011111100001011	24
1011111100001111	24
1011111100100010	24
1011111100100011	24
1011111100101010	6
1011111100101011	6
1011111100101111	12
1011111100110011	24
1011111100111011	12
1011111100111111	6
1011111110101010	12
1011111110101011	12
1011111110101111	24
1011111110111011	24
1011111111111111	4
1100000001000000	12
1100000010000000	6
1100000011000100	12
1100000011001000	24
1100000011010000	12
1100000011010100	6
1100000011010101	6
1100000011011100	24
1100000011011101	24
1100000011100000	24
1100000011101000	12
1100000011101010	12
1100000011101100	24
1100000011101110	24
1100000011110100	24
1100000011110101	24
1100000011111000	24
1100000011111010	24
1100000011111101	12
1100000011111110	12
1100010000000000	12
1100010001000000	12
1100010001000100	12
1100010011000000	24
1100010011001100	12
1100010011010100	24
1100010011010101	24
1100010011011100	12
1100010011011101	12
1100010011110100	12
1100010011110101	12
1100010011111100	24
1100010011111101	24
1100010011111111	24
1100100000000000	6
1100100010000000	4
1100100010001000	12
1100100011000000	12
1100100011001100	12
1100100011101000	12
1100100011101010	24
1100100011101100	12
1100100011101110	24
1100100011111000	24
1100100011111010	12
1100100011111100	24
1100100011111110	12
1100100011111111	12
1100110000000100	12
1100110000001000	24
1100110001000000	24
1100110001001100	12
1100110010000000	12
1100110010001100	12
1100110011000100	12
1100110011001000	4
1100110011001101	4
1100110011001110	12
1100110011011100	12
1100110011011111	12
1100110011101100	12
1100110011101111	24
1100110011111101	24
1100110011111110	12
1100110100000000	12
1100110100000100	6
1100110100000101	6
1100110100001100	24
1100110100001101	24
1100110101000100	24
1100110101000101	24
1100110101001100	12
1100110101001101	12
1100110111001100	12
1100110111001111	12
1100110111011101	12
1100110111011111	4
1100110111111111	12
1100111000000000	24
1100111000001000	12
1100111000001010	12
1100111000001100	24
1100111000001110	24
1100111010001000	12
1100111010001010	24
1100111010001100	12
1100111010001110	24
1100111011001100	12
1100111011001111	24
1100111011101110	12
1100111011101111	12
1100111011111111	24
1100111100000100	24
1100111100000101	24
1100111100001000	24
1100111100001010	24
1100111100001101	12
1100111100001110	12
1100111101000100	12
1100111101000101	12
1100111101001100	24
1100111101001101	24
1100111101001111	24
1100111110001000	24
1100111110001010	12
1100111110001100	24
1100111110001110	12
1100111110001111	12
1100111111001101	24
1100111111001110	12
1100111111011111	12
1100111111101111	24
1101000000000000	12
1101000001000000	12
1101000001010000	12
1101000011000000	24
1101000011010100	24
1101000011010101	24
1101000011011100	12
1101000011011101	12
1101000011110000	12
1101000011110100	12
1101000011110101	12
1101000011111100	24
1101000011111101	24
1101000011111111	24
1101010000000000	12
1101010001000000	4
1101010001000100	12
1101010001010000	12
1101010001010100	12
1101010011000000	12
1101010011000100	24
1101010011010000	24
1101010011010101	12
1101010011011100	24
1101010011011101	24
1101010011110100	24
1101010011110101	24
1101010011111100	6
1101010011111101	6
1101010011111111	12
1101010100000000	12
1101010101000000	12
1101010101000100	12
1101010101010000	12
1101010101010100	4
1101010101010101	4
1101010111000000	12
1101010111000100	24
1101010111010000	24
1101010111010100	12
1101010111011101	24
1101010111110101	24
1101010111111101	12
1101010111111111	6
1101110000000000	24
1101110001000000	12
1101110001000100	24
1101110001010000	12
1101110001010100	24
1101110011000000	12
1101110011000100	12
1101110011001100	12
1101110011010000	24
1101110011010100	24
1101110011011101	24
1101110011111100	12
1101110011111101	12
1101110011111111	24
1101110100000100	24
1101110100000101	24
1101110100001100	12
1101110100001101	12
1101110101000000	24
1101110101000101	12
1101110101001100	24
1101110101001101	24
1101110101010000	24
1101110101010100	12
1101110101011101	24
1101110111000000	24
1101110111000100	24
1101110111001101	24
1101110111010000	12
1101110111010100	12
1101110111010101	12
1101110111011100	12
1101110111011111	12
1101110111111101	24
1101111100000000	12
1101111100000100	12
1101111100000101	12
1101111100001100	24
1101111100001101	24
1101111100001111	24
1101111101000100	24
1101111101000101	24
1101111101001100	6
1101111101001101	6
1101111101001111	12
1101111101010101	24
1101111101011101	12
1101111101011111	6
1101111111001100	12
1101111111001101	12
1101111111001111	24
1101111111011101	24
1101111111111111	4
1110000000000000	6
1110000010000000	4
1110000010100000	12
1110000011000000	12
1110000011101000	12
1110000011101010	24
1110000011101100	24
1110000011101110	12
1110000011110000	12
1110000011111000	12
1110000011111010	24
1110000011111100	24
1110000011111110	12
1110000011111111	12
1110100000000000	4
1110100010000000	1
1110100010001000	6
1110100010100000	6
1110100010101000	12
1110100011000000	6
1110100011001000	12
1110100011100000	12
1110100011101010	12
1110100011101100	12
1110100011101110	12
1110100011111000	12
1110100011111010	12
1110100011111100	12
1110100011111110	4
1110100011111111	4
1110101000000000	12
1110101010000000	6
1110101010001000	12
1110101010100000	12
1110101010101000	4
1110101010101010	4
1110101011000000	3
1110101011001000	12
1110101011100000	12
1110101011101000	12
1110101011101110	24
1110101011111010	24
1110101011111110	12
1110101011111111	12
1110110000000000	12
1110110010000000	6
1110110010001000	12
1110110010100000	3
1110110010101000	12
1110110011000000	12
1110110011001000	4
1110110011001100	4
1110110011100000	12
1110110011101000	12
1110110011101110	24
1110110011111100	24
1110110011111110	12
1110110011111111	12
1110111000001000	12
1110111000001010	24
1110111000001100	24
1110111000001110	12
1110111010000000	12
1110111010001010	12
1110111010001100	12
1110111010001110	12
1110111010100000	12
1110111010101000	12
1110111010101110	24
1110111011000000	12
1110111011001000	12
1110111011001110	24
1110111011100000	3
1110111011101000	6
1110111011101010	12
1110111011101100	12
1110111011101111	6
1110111011111110	12
1110111100000000	12
1110111100001000	12
1110111100001010	24
1110111100001100	24
1110111100001110	12
1110111100001111	12
1110111110001000	12
1110111110001010	12
1110111110001100	12
1110111110001110	4
1110111110001111	4
1110111110101010	24
1110111110101110	12
1110111110101111	12
1110111111001100	24
1110111111001110	12
1110111111001111	12
1110111111101110	12
1110111111111111	6
1111000000010000	12
1111000000100000	24
1111000001000000	24
1111000001110000	12
1111000010000000	12
1111000010110000	12
1111000011010000	12
1111000011100000	4
1111000011110001	4
1111000011110010	12
1111000011110100	12
1111000011110111	12
1111000011111000	12
1111000011111011	24
1111000011111101	24
1111000011111110	12
1111000100000000	12
1111000100010000	6
1111000100010001	6
1111000100110000	24
1111000100110001	24
1111000101010000	24
1111000101010001	24
1111000101110000	12
1111000101110001	12
1111000111110000	12
1111000111110011	12
1111000111110101	12
